DECILGEN,KOMMUNEDK,PRISENHED,TID,INDHOLD
1. decil,København,Faste priser (seneste dataårs prisniveau),2013,59810
1. decil,København,Faste priser (seneste dataårs prisniveau),2014,61337
1. decil,København,Faste priser (seneste dataårs prisniveau),2015,62792
1. decil,København,Faste priser (seneste dataårs prisniveau),2016,59313
1. decil,København,Faste priser (seneste dataårs prisniveau),2017,58025
1. decil,København,Faste priser (seneste dataårs prisniveau),2018,57233
1. decil,København,Faste priser (seneste dataårs prisniveau),2019,59311
1. decil,København,Faste priser (seneste dataårs prisniveau),2020,59859
1. decil,København,Faste priser (seneste dataårs prisniveau),2021,65409
1. decil,København,Faste priser (seneste dataårs prisniveau),2022,51325
1. decil,København,Faste priser (seneste dataårs prisniveau),2023,53270
1. decil,København,Faste priser (seneste dataårs prisniveau),2024,63547
1. decil,København,Nominelle priser,1987,29451
1. decil,København,Nominelle priser,1988,30233
1. decil,København,Nominelle priser,1989,30219
1. decil,København,Nominelle priser,1990,30474
1. decil,København,Nominelle priser,1991,32935
1. decil,København,Nominelle priser,1992,33149
1. decil,København,Nominelle priser,1993,34665
1. decil,København,Nominelle priser,1994,39846
1. decil,København,Nominelle priser,1995,40515
1. decil,København,Nominelle priser,1996,43784
1. decil,København,Nominelle priser,1997,43178
1. decil,København,Nominelle priser,1998,45957
1. decil,København,Nominelle priser,1999,45452
1. decil,København,Nominelle priser,2000,45042
1. decil,København,Nominelle priser,2001,46768
1. decil,København,Nominelle priser,2002,48582
1. decil,København,Nominelle priser,2003,48806
1. decil,København,Nominelle priser,2004,49540
1. decil,København,Nominelle priser,2005,48980
1. decil,København,Nominelle priser,2006,50856
1. decil,København,Nominelle priser,2007,44745
1. decil,København,Nominelle priser,2008,35356
1. decil,København,Nominelle priser,2009,38173
1. decil,København,Nominelle priser,2010,35596
1. decil,København,Nominelle priser,2011,44366
1. decil,København,Nominelle priser,2012,49198
1. decil,København,Nominelle priser,2013,49825
1. decil,København,Nominelle priser,2014,51389
1. decil,København,Nominelle priser,2015,52846
1. decil,København,Nominelle priser,2016,50048
1. decil,København,Nominelle priser,2017,49521
1. decil,København,Nominelle priser,2018,49244
1. decil,København,Nominelle priser,2019,51415
1. decil,København,Nominelle priser,2020,52110
1. decil,København,Nominelle priser,2021,57996
1. decil,København,Nominelle priser,2022,49012
1. decil,København,Nominelle priser,2023,52548
1. decil,København,Nominelle priser,2024,63547
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),1987,64196
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),1988,65918
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),1989,64632
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),1990,64100
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),1991,64654
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),1992,61284
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),1993,70260
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),1994,77254
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),1995,80589
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),1996,84774
