Municipality,Year,Average Income,Employed_Ratio,Unemployed_Ratio,Enrolled_Ratio,Outside_Ratio
Favrskov,2013,307793.6,0.6062845254322404,0.02611378147643303,0.13598536480378792,0.23161632828753856
Favrskov,2014,312782.0,0.6145866982520369,0.021391909838124976,0.136247801586447,0.22777359032339112
Favrskov,2015,317516.7,0.612677564422871,0.018666571489756586,0.13505603540581054,0.23359982868156184
Favrskov,2016,324378.9,0.6243509400179051,0.019695613249776187,0.1334288272157565,0.22252461951656222
Favrskov,2017,330394.1,0.6426464239458914,0.0187796805295726,0.1261332565836811,0.2124406389408548
Favrskov,2018,336580.2,0.6510696634077708,0.0189040008658321,0.1271330134564739,0.20289332226992315
Favrskov,2019,344211.2,0.6546281917006753,0.019466214020007946,0.12622341001841886,0.19968218426089782
Favrskov,2020,360690.6,0.6528853177501827,0.024141709276844413,0.12972972972972974,0.19324324324324324
Favrskov,2021,370399.9,0.673007411734638,0.014896491292124576,0.12724086312023075,0.18485523385300667
Favrskov,2022,345054.6,0.678587003924989,0.014209914231719727,0.12650821340311091,0.18069486844018026
Favrskov,2023,342524.3,0.6736438038676034,0.016585789816759615,0.13076700224523793,0.17900340407039908
Favrskov,2024,340693.6,0.6732594651171184,0.017685061536795756,0.12563612083588985,0.18341935251019598
Faxe,2008,268055.2,0.6164818500616055,0.019097715856316935,0.10577196474267841,0.2586484693393991
Faxe,2009,269447.2,0.5814584405257496,0.04153608681416343,0.11066934842602554,0.26633612423406144
Faxe,2010,285481.6,0.5732804849615295,0.038004196782466776,0.11298671018885521,0.2757286080671485
Faxe,2011,279392.8,0.5608468081129078,0.03729320497242733,0.11828208243761099,0.28357790447705394
Faxe,2012,280347.8,0.5508866251650631,0.04079418977551406,0.1245048104131296,0.28381437464629317
Faxe,2013,284133.2,0.5511501776697213,0.03773143818963905,0.13217692163830186,0.27894146250233776
Faxe,2014,288155.9,0.560196905766526,0.030192217533989686,0.13595874355368026,0.27365213314580406
Faxe,2015,291270.6,0.5617625023412625,0.029780857838546546,0.12905038396703503,0.27940625585315604
Faxe,2016,295633.5,0.5744820474360176,0.029108465360457487,0.12440236242617418,0.27200712477735073
Faxe,2017,299167.7,0.5825210717144607,0.029759382210293357,0.11927296699157132,0.2684465790836747
Faxe,2018,304180.0,0.5976687347245723,0.025897725136303815,0.11698627561571724,0.25944726452340666
Faxe,2019,311114.0,0.6024073637007317,0.02525371725277319,0.11824404059476044,0.25409487845173473
Faxe,2020,325505.1,0.600236518448439,0.0293282876064333,0.12100283822138126,0.24943235572374645
Faxe,2021,330941.4,0.6182262537011797,0.01781266155943037,0.12078770503360436,0.2431733797057856
Faxe,2022,310289.5,0.6243781094527363,0.01849244344316155,0.11813573641227823,0.2389937106918239
Faxe,2023,309032.3,0.6235780285090774,0.01801550819519896,0.11496494404977481,0.24344151924594884
Faxe,2024,310319.8,0.6221850768445002,0.020662116357895714,0.10851093467056692,0.2486418721270372
Fredensborg,2008,323559.6,0.6288155275381553,0.013603185136031851,0.11152123424021235,0.24606005308560053
Fredensborg,2009,316920.5,0.6049403046521202,0.025607245780156444,0.11613832853025936,0.253314121037464
Fredensborg,2010,345974.4,0.5926457325571862,0.026604902844961874,0.12244814298598015,0.25830122161187175
Fredensborg,2011,343818.1,0.5857983330609576,0.023328975322765157,0.12677725118483413,0.26409544043144306
Fredensborg,2012,344914.1,0.5744176542705354,0.029873314262362075,0.13293829178586022,0.2627707396812423
Fredensborg,2013,354864.9,0.573634543894767,0.027533804485477348,0.1325217533395972,0.2663098982801585
Fredensborg,2014,362105.9,0.5747617482747289,0.025345054222806442,0.13461222477817944,0.26528097272428525
Fredensborg,2015,375500.3,0.5829674426310993,0.022367658023361776,0.12840692568966947,0.26625797365586945
Fredensborg,2016,378213.7,0.5874886297858265,0.01997023071198214,0.13251467791284213,0.2600264615893492
Fredensborg,2017,378633.8,0.590453619392125,0.022285975635108726,0.13450584175294167,0.25275456321982454
Fredensborg,2018,386415.3,0.602892196129685,0.021248787891563724,0.1299380243686496,0.2459209916101016
Fredensborg,2019,396911.9,0.6162150629400469,0.01834862385321101,0.12818433966289738,0.23725197354384467
Fredensborg,2020,406617.6,0.6137568399452804,0.0253077975376197,0.13303693570451436,0.2278984268125855
Fredensborg,2021,426938.4,0.633147836590311,0.015961347655407444,0.13053794055476467,0.22035287519951685
Fredensborg,2022,381160.3,0.6460707858428314,0.012211843345616591,0.12593195646584968,0.21578541434570228
Fredensborg,2023,390057.0,0.6490874817924771,0.015294319252848942,0.12556764630280182,0.21005055265187217
Fredensborg,2024,401957.2,0.6560699807979518,0.017623213142735225,0.12080221890334969,0.20550458715596331
Fredericia,2008,266410.1,0.5984443204568578,0.018740359053464176,0.11145754701499885,0.2713577734746792
Fredericia,2009,270622.0,0.557674222524889,0.0431948633135519,0.1166780166682881,0.28245289749327107
Fredericia,2010,285253.8,0.5440690473898675,0.042224147335322613,0.12471524368723329,0.2889915615875766
Fredericia,2011,277147.3,0.5301555797426212,0.03931109546065689,0.13694858825789102,0.29358473653883094
Fredericia,2012,276420.1,0.5175811870100784,0.04520876659734443,0.14407294832826747,0.2931370980643097
Fredericia,2013,280650.4,0.5265557255802091,0.03567329762815608,0.14565799540933436,0.2921129813823004
Fredericia,2014,285284.0,0.5355075939248601,0.032965627498001596,0.14430055955235813,0.2872262190247802
Fredericia,2015,291239.0,0.5423195479064988,0.02848060621628564,0.1413755458515284,0.28782430002568715
Fredericia,2016,301314.6,0.5539837871007331,0.029583696670219293,0.13687304201789233,0.27955947421115523
Fredericia,2017,298954.1,0.5643525992896351,0.030577978689053924,0.13354859541491768,0.27152082660639326
Fredericia,2018,303118.1,0.5724698717118051,0.029642348062718673,0.13220811196060644,0.2656796682648698
Fredericia,2019,310494.0,0.5759610705596107,0.02880778588807786,0.13274939172749392,0.26248175182481753
Fredericia,2020,322506.4,0.5748735900427849,0.03199144301828082,0.13418903150525088,0.2589459354336834
Fredericia,2021,331178.2,0.5984739793922004,0.01803182470327377,0.12994000260858224,0.25355419329594364
Fredericia,2022,309869.3,0.6034788210661942,0.017941697535835077,0.12227411821549364,0.25630536318247704
Fredericia,2023,310308.3,0.6034350412588755,0.021237126591185315,0.11923495170472719,0.25609288044521206
Fredericia,2024,315741.3,0.6070982814350178,0.023138221269241848,0.11194674688770122,0.2578167504080392
