municipality_code,municipality_name,year,average_income
851,Aalborg,2015,203080
851,Aalborg,2016,205924
851,Aalborg,2017,212729
851,Aalborg,2018,218056
851,Aalborg,2019,223448
851,Aalborg,2020,234085
851,Aalborg,2021,244344
851,Aalborg,2022,246872
851,Aalborg,2023,256494
851,Aalborg,2024,266935
751,Aarhus,2008,172568
751,Aarhus,2009,177687
751,Aarhus,2010,192946
751,Aarhus,2011,196346
751,Aarhus,2012,200098
751,Aarhus,2013,207081
751,Aarhus,2014,211446
751,Aarhus,2015,220011
751,Aarhus,2016,221100
751,Aarhus,2017,228901
751,Aarhus,2018,234439
751,Aarhus,2019,239830
751,Aarhus,2020,250297
751,Aarhus,2021,262497
751,Aarhus,2022,261816
751,Aarhus,2023,270915
751,Aarhus,2024,281588
165,Albertslund,2008,169042
165,Albertslund,2009,172800
165,Albertslund,2010,183831
165,Albertslund,2011,182828
165,Albertslund,2012,186626
165,Albertslund,2013,188093
165,Albertslund,2014,192715
165,Albertslund,2015,196771
165,Albertslund,2016,199705
165,Albertslund,2017,202561
165,Albertslund,2018,208399
165,Albertslund,2019,211987
165,Albertslund,2020,221028
165,Albertslund,2021,230832
165,Albertslund,2022,232129
165,Albertslund,2023,241138
165,Albertslund,2024,248808
201,Allerød,2008,222414
201,Allerød,2009,224741
201,Allerød,2010,251802
201,Allerød,2011,261760
201,Allerød,2012,266595
201,Allerød,2013,273294
201,Allerød,2014,280848
201,Allerød,2015,288485
201,Allerød,2016,293063
201,Allerød,2017,300931
201,Allerød,2018,306103
201,Allerød,2019,319855
201,Allerød,2020,327301
201,Allerød,2021,345529
201,Allerød,2022,345657
201,Allerød,2023,352616
201,Allerød,2024,363562
420,Assens,2008,161082
420,Assens,2009,168406
420,Assens,2010,181933
420,Assens,2011,184591
420,Assens,2012,189157
420,Assens,2013,192580
420,Assens,2014,194750
420,Assens,2015,199676
420,Assens,2016,202808
420,Assens,2017,208781
420,Assens,2018,212415
420,Assens,2019,221444
420,Assens,2020,230366
420,Assens,2021,239817
420,Assens,2022,240754
420,Assens,2023,249635
420,Assens,2024,252783
151,Ballerup,2008,182901
151,Ballerup,2009,183351
151,Ballerup,2010,197401
151,Ballerup,2011,202452
151,Ballerup,2012,206484
151,Ballerup,2013,210474
151,Ballerup,2014,219824
151,Ballerup,2015,223323
151,Ballerup,2016,225245
151,Ballerup,2017,230366
151,Ballerup,2018,236121
151,Ballerup,2019,242568
151,Ballerup,2020,252939
151,Ballerup,2021,263285
151,Ballerup,2022,264673
151,Ballerup,2023,277526
151,Ballerup,2024,285035
530,Billund,2008,171198
530,Billund,2009,173384
530,Billund,2010,190905
530,Billund,2011,195230
530,Billund,2012,201798
530,Billund,2013,208051
530,Billund,2014,210271
530,Billund,2015,212304
530,Billund,2016,215983
530,Billund,2017,227700
530,Billund,2018,231771
530,Billund,2019,239139
530,Billund,2020,248416
530,Billund,2021,260894
530,Billund,2022,265340
530,Billund,2023,398267
530,Billund,2024,286776
400,Bornholm,2008,155300
400,Bornholm,2009,160093
400,Bornholm,2010,173759
400,Bornholm,2011,174636
400,Bornholm,2012,179094
400,Bornholm,2013,181589
400,Bornholm,2014,185032
400,Bornholm,2015,189477
400,Bornholm,2016,193344
400,Bornholm,2017,199413
400,Bornholm,2018,202976
400,Bornholm,2019,211258
400,Bornholm,2020,218783
400,Bornholm,2021,226536
400,Bornholm,2022,226145
400,Bornholm,2023,236127
400,Bornholm,2024,242923
153,Brøndby,2008,170314
153,Brøndby,2009,171557
153,Brøndby,2010,182312
153,Brøndby,2011,185604
153,Brøndby,2012,187577
153,Brøndby,2013,190532
153,Brøndby,2014,193785
153,Brøndby,2015,197052
153,Brøndby,2016,201440
153,Brøndby,2017,205179
153,Brøndby,2018,211029
153,Brøndby,2019,215194
153,Brøndby,2020,224578
153,Brøndby,2021,232140
153,Brøndby,2022,233811
153,Brøndby,2023,241989
153,Brøndby,2024,251169
810,Brønderslev,2008,152733
810,Brønderslev,2009,161583
810,Brønderslev,2010,176238
810,Brønderslev,2011,180932
810,Brønderslev,2012,188057
810,Brønderslev,2013,193506
810,Brønderslev,2014,195355
810,Brønderslev,2015,198125
810,Brønderslev,2016,206456
810,Brønderslev,2017,208860
810,Brønderslev,2018,211674
810,Brønderslev,2019,221527
810,Brønderslev,2020,232506
810,Brønderslev,2021,243751
810,Brønderslev,2022,244534
810,Brønderslev,2023,250474
810,Brønderslev,2024,255600
155,Dragør,2008,220100
155,Dragør,2009,217104
155,Dragør,2010,242929
155,Dragør,2011,261933
155,Dragør,2012,264648
155,Dragør,2013,270354
155,Dragør,2014,279821
155,Dragør,2015,289465
155,Dragør,2016,295922
155,Dragør,2017,303980
155,Dragør,2018,311793
155,Dragør,2019,322159
155,Dragør,2020,332103
155,Dragør,2021,350841
155,Dragør,2022,351523
155,Dragør,2023,368217
155,Dragør,2024,375847
240,Egedal,2008,208794
240,Egedal,2009,206649
240,Egedal,2010,228868
240,Egedal,2011,232521
240,Egedal,2012,237053
240,Egedal,2013,244977
240,Egedal,2014,248827
240,Egedal,2015,256199
240,Egedal,2016,258933
240,Egedal,2017,267883
240,Egedal,2018,274867
240,Egedal,2019,277595
240,Egedal,2020,290600
240,Egedal,2021,306979
240,Egedal,2022,299723
240,Egedal,2023,315613
240,Egedal,2024,319596
561,Esbjerg,2008,172014
561,Esbjerg,2009,175733
561,Esbjerg,2010,189600
561,Esbjerg,2011,192786
561,Esbjerg,2012,198130
561,Esbjerg,2013,203075
561,Esbjerg,2014,207362
561,Esbjerg,2015,210319
561,Esbjerg,2016,213261
561,Esbjerg,2017,219429
561,Esbjerg,2018,224598
561,Esbjerg,2019,231628
561,Esbjerg,2020,240432
561,Esbjerg,2021,253340
561,Esbjerg,2022,254323
561,Esbjerg,2023,264152
561,Esbjerg,2024,274660
430,Faaborg-Midtfyn,2008,162912
430,Faaborg-Midtfyn,2009,166716
430,Faaborg-Midtfyn,2010,179305
430,Faaborg-Midtfyn,2011,183691
430,Faaborg-Midtfyn,2012,189006
430,Faaborg-Midtfyn,2013,192790
430,Faaborg-Midtfyn,2014,197313
430,Faaborg-Midtfyn,2015,201163
430,Faaborg-Midtfyn,2016,200301
430,Faaborg-Midtfyn,2017,209324
430,Faaborg-Midtfyn,2018,214986
430,Faaborg-Midtfyn,2019,220675
430,Faaborg-Midtfyn,2020,230727
430,Faaborg-Midtfyn,2021,239416
430,Faaborg-Midtfyn,2022,242942
430,Faaborg-Midtfyn,2023,249583
430,Faaborg-Midtfyn,2024,254250
563,Fanø,2008,189265
563,Fanø,2009,197164
563,Fanø,2010,210107
563,Fanø,2011,215419
563,Fanø,2012,220292
563,Fanø,2013,226293
563,Fanø,2014,230507
563,Fanø,2015,233539
563,Fanø,2016,233960
563,Fanø,2017,240905
563,Fanø,2018,244102
563,Fanø,2019,246571
563,Fanø,2020,259036
563,Fanø,2021,273555
563,Fanø,2022,267294
563,Fanø,2023,272888
563,Fanø,2024,277700
710,Favrskov,2008,179935
710,Favrskov,2009,183567
710,Favrskov,2010,200651
710,Favrskov,2011,204412
710,Favrskov,2012,210245
710,Favrskov,2013,216338
710,Favrskov,2014,220545
710,Favrskov,2015,224587
710,Favrskov,2016,229808
710,Favrskov,2017,237631
710,Favrskov,2018,243703
710,Favrskov,2019,250587
710,Favrskov,2020,263996
710,Favrskov,2021,276036
710,Favrskov,2022,276131
710,Favrskov,2023,283020
710,Favrskov,2024,285147
320,Faxe,2008,173413
320,Faxe,2009,176047
320,Faxe,2010,190429
320,Faxe,2011,191067
320,Faxe,2012,196645
320,Faxe,2013,199628
320,Faxe,2014,203666
320,Faxe,2015,207107
320,Faxe,2016,210599
320,Faxe,2017,215981
320,Faxe,2018,222006
320,Faxe,2019,228041
320,Faxe,2020,240707
320,Faxe,2021,248597
320,Faxe,2022,250949
320,Faxe,2023,258606
320,Faxe,2024,262570
210,Fredensborg,2008,210534
210,Fredensborg,2009,208582
210,Fredensborg,2010,232064
210,Fredensborg,2011,235433
210,Fredensborg,2012,241954
210,Fredensborg,2013,250551
210,Fredensborg,2014,257143
210,Fredensborg,2015,268065
210,Fredensborg,2016,270154
210,Fredensborg,2017,274358
210,Fredensborg,2018,281526
210,Fredensborg,2019,293292
210,Fredensborg,2020,301145
210,Fredensborg,2021,323677
210,Fredensborg,2022,309845
210,Fredensborg,2023,328507
210,Fredensborg,2024,344577
607,Fredericia,2008,173585
607,Fredericia,2009,178272
607,Fredericia,2010,191988
607,Fredericia,2011,191378
607,Fredericia,2012,195292
607,Fredericia,2013,199174
607,Fredericia,2014,203698
607,Fredericia,2015,209082
607,Fredericia,2016,215141
607,Fredericia,2017,217669
607,Fredericia,2018,222200
607,Fredericia,2019,228663
607,Fredericia,2020,238316
607,Fredericia,2021,249906
607,Fredericia,2022,251556
607,Fredericia,2023,260495
607,Fredericia,2024,268774
147,Frederiksberg,2008,194175
147,Frederiksberg,2009,199731
147,Frederiksberg,2010,219475
147,Frederiksberg,2011,224754
147,Frederiksberg,2012,230908
147,Frederiksberg,2013,238371
147,Frederiksberg,2014,245712
147,Frederiksberg,2015,252988
147,Frederiksberg,2016,258624
147,Frederiksberg,2017,267820
147,Frederiksberg,2018,276683
147,Frederiksberg,2019,287059
147,Frederiksberg,2020,301686
147,Frederiksberg,2021,319321
147,Frederiksberg,2022,312449
147,Frederiksberg,2023,329362
147,Frederiksberg,2024,344810
813,Frederikshavn,2008,162845
813,Frederikshavn,2009,168186
813,Frederikshavn,2010,181012
813,Frederikshavn,2011,185770
813,Frederikshavn,2012,193753
813,Frederikshavn,2013,196242
813,Frederikshavn,2014,198040
813,Frederikshavn,2015,201863
813,Frederikshavn,2016,204842
813,Frederikshavn,2017,211190
813,Frederikshavn,2018,214560
813,Frederikshavn,2019,221881
813,Frederikshavn,2020,230845
813,Frederikshavn,2021,239492
813,Frederikshavn,2022,243387
813,Frederikshavn,2023,251119
813,Frederikshavn,2024,258890
250,Frederikssund,2008,187939
250,Frederikssund,2009,188638
250,Frederikssund,2010,202635
250,Frederikssund,2011,206586
250,Frederikssund,2012,211200
250,Frederikssund,2013,217812
250,Frederikssund,2014,222302
250,Frederikssund,2015,227244
250,Frederikssund,2016,231363
250,Frederikssund,2017,235609
250,Frederikssund,2018,242718
250,Frederikssund,2019,247615
250,Frederikssund,2020,259828
250,Frederikssund,2021,269949
250,Frederikssund,2022,272115
250,Frederikssund,2023,280413
250,Frederikssund,2024,284504
190,Furesø,2008,222080
190,Furesø,2009,221771
190,Furesø,2010,248168
190,Furesø,2011,254231
190,Furesø,2012,264457
190,Furesø,2013,273454
190,Furesø,2014,282531
190,Furesø,2015,285128
190,Furesø,2016,293053
190,Furesø,2017,301119
190,Furesø,2018,308833
190,Furesø,2019,320012
190,Furesø,2020,330160
190,Furesø,2021,348065
190,Furesø,2022,343392
190,Furesø,2023,365138
190,Furesø,2024,371605
157,Gentofte,2008,275209
157,Gentofte,2009,274992
157,Gentofte,2010,321327
157,Gentofte,2011,339165
157,Gentofte,2012,351659
157,Gentofte,2013,363825
157,Gentofte,2014,378676
157,Gentofte,2015,425302
157,Gentofte,2016,412157
157,Gentofte,2017,419650
157,Gentofte,2018,427370
157,Gentofte,2019,468130
157,Gentofte,2020,466520
157,Gentofte,2021,529706
157,Gentofte,2022,514283
157,Gentofte,2023,591074
157,Gentofte,2024,570329
159,Gladsaxe,2008,189655
159,Gladsaxe,2009,191061
159,Gladsaxe,2010,207801
159,Gladsaxe,2011,213516
159,Gladsaxe,2012,217354
159,Gladsaxe,2013,224069
159,Gladsaxe,2014,230224
159,Gladsaxe,2015,235249
159,Gladsaxe,2016,238495
159,Gladsaxe,2017,245192
159,Gladsaxe,2018,250679
159,Gladsaxe,2019,259311
159,Gladsaxe,2020,274032
159,Gladsaxe,2021,286086
159,Gladsaxe,2022,285576
159,Gladsaxe,2023,301819
159,Gladsaxe,2024,310421
161,Glostrup,2008,184220
161,Glostrup,2009,187212
161,Glostrup,2010,201063
161,Glostrup,2011,202928
161,Glostrup,2012,205223
161,Glostrup,2013,210408
161,Glostrup,2014,213912
161,Glostrup,2015,219926
161,Glostrup,2016,222384
161,Glostrup,2017,228242
161,Glostrup,2018,232928
161,Glostrup,2019,238682
161,Glostrup,2020,250472
161,Glostrup,2021,261718
161,Glostrup,2022,261201
161,Glostrup,2023,269703
161,Glostrup,2024,280422
253,Greve,2008,204182
253,Greve,2009,198311
253,Greve,2010,216897
253,Greve,2011,222654
253,Greve,2012,227225
253,Greve,2013,233678
253,Greve,2014,238815
253,Greve,2015,242508
253,Greve,2016,247143
253,Greve,2017,253934
253,Greve,2018,259348
253,Greve,2019,264596
253,Greve,2020,277351
253,Greve,2021,287771
253,Greve,2022,286027
253,Greve,2023,299792
253,Greve,2024,306548
270,Gribskov,2008,191709
270,Gribskov,2009,189237
270,Gribskov,2010,208448
270,Gribskov,2011,210245
270,Gribskov,2012,217462
270,Gribskov,2013,220764
270,Gribskov,2014,228428
270,Gribskov,2015,232054
270,Gribskov,2016,235351
270,Gribskov,2017,241084
270,Gribskov,2018,245826
270,Gribskov,2019,251318
270,Gribskov,2020,265910
270,Gribskov,2021,277405
270,Gribskov,2022,276827
270,Gribskov,2023,286016
270,Gribskov,2024,292834
376,Guldborgsund,2008,160043
376,Guldborgsund,2009,164034
376,Guldborgsund,2010,176177
376,Guldborgsund,2011,173408
376,Guldborgsund,2012,180773
376,Guldborgsund,2013,187256
376,Guldborgsund,2014,189448
376,Guldborgsund,2015,193790
376,Guldborgsund,2016,195395
376,Guldborgsund,2017,199571
376,Guldborgsund,2018,203449
376,Guldborgsund,2019,210439
376,Guldborgsund,2020,221829
376,Guldborgsund,2021,233857
376,Guldborgsund,2022,234273
376,Guldborgsund,2023,241655
376,Guldborgsund,2024,246113
510,Haderslev,2008,163614
510,Haderslev,2009,170670
510,Haderslev,2010,181337
510,Haderslev,2011,182598
510,Haderslev,2012,185536
510,Haderslev,2013,190219
510,Haderslev,2014,193583
510,Haderslev,2015,198173
510,Haderslev,2016,200526
510,Haderslev,2017,208067
510,Haderslev,2018,212391
510,Haderslev,2019,219616
510,Haderslev,2020,228974
510,Haderslev,2021,238417
510,Haderslev,2022,240469
510,Haderslev,2023,247184
510,Haderslev,2024,251031
260,Halsnæs,2008,177756
260,Halsnæs,2009,175875
260,Halsnæs,2010,189494
260,Halsnæs,2011,191281
260,Halsnæs,2012,195920
260,Halsnæs,2013,201199
260,Halsnæs,2014,205963
260,Halsnæs,2015,210450
260,Halsnæs,2016,213281
260,Halsnæs,2017,219665
260,Halsnæs,2018,224733
260,Halsnæs,2019,229476
260,Halsnæs,2020,241285
260,Halsnæs,2021,250501
260,Halsnæs,2022,250329
260,Halsnæs,2023,260823
260,Halsnæs,2024,268127
766,Hedensted,2008,175190
766,Hedensted,2009,180127
766,Hedensted,2010,193808
766,Hedensted,2011,194684
766,Hedensted,2012,201335
766,Hedensted,2013,206998
766,Hedensted,2014,211880
766,Hedensted,2015,218083
766,Hedensted,2016,218894
766,Hedensted,2017,225664
766,Hedensted,2018,233866
766,Hedensted,2019,239240
766,Hedensted,2020,251112
766,Hedensted,2021,261284
766,Hedensted,2022,265410
766,Hedensted,2023,269899
766,Hedensted,2024,276539
217,Helsingør,2008,191690
217,Helsingør,2009,190185
217,Helsingør,2010,208852
217,Helsingør,2011,213742
217,Helsingør,2012,219131
217,Helsingør,2013,227974
217,Helsingør,2014,233337
217,Helsingør,2015,239974
217,Helsingør,2016,242869
217,Helsingør,2017,249399
217,Helsingør,2018,254779
217,Helsingør,2019,263192
217,Helsingør,2020,277015
217,Helsingør,2021,292923
217,Helsingør,2022,287701
217,Helsingør,2023,299652
217,Helsingør,2024,310173
163,Herlev,2008,182484
163,Herlev,2009,185132
163,Herlev,2010,199259
163,Herlev,2011,203029
163,Herlev,2012,207286
163,Herlev,2013,213345
163,Herlev,2014,215922
163,Herlev,2015,220790
163,Herlev,2016,225266
163,Herlev,2017,229138
163,Herlev,2018,236643
163,Herlev,2019,242303
163,Herlev,2020,258098
163,Herlev,2021,265046
163,Herlev,2022,264478
163,Herlev,2023,278171
163,Herlev,2024,291266
657,Herning,2008,170883
657,Herning,2009,174893
657,Herning,2010,190683
657,Herning,2011,199171
657,Herning,2012,199123
657,Herning,2013,203505
657,Herning,2014,208360
657,Herning,2015,211934
657,Herning,2016,216136
657,Herning,2017,223994
657,Herning,2018,229212
657,Herning,2019,236376
657,Herning,2020,249340
657,Herning,2021,258963
657,Herning,2022,261519
657,Herning,2023,267283
657,Herning,2024,273181
219,Hillerød,2008,200693
219,Hillerød,2009,199617
219,Hillerød,2010,220042
219,Hillerød,2011,223169
219,Hillerød,2012,229704
219,Hillerød,2013,234938
219,Hillerød,2014,239173
219,Hillerød,2015,251272
219,Hillerød,2016,252019
219,Hillerød,2017,256639
219,Hillerød,2018,262199
219,Hillerød,2019,269847
219,Hillerød,2020,281446
219,Hillerød,2021,294129
219,Hillerød,2022,293383
219,Hillerød,2023,305073
219,Hillerød,2024,320229
860,Hjørring,2008,159361
860,Hjørring,2009,163001
860,Hjørring,2010,176671
860,Hjørring,2011,183635
860,Hjørring,2012,189370
860,Hjørring,2013,194713
860,Hjørring,2014,197607
860,Hjørring,2015,201501
860,Hjørring,2016,204651
860,Hjørring,2017,214621
860,Hjørring,2018,217772
860,Hjørring,2019,223556
860,Hjørring,2020,233897
860,Hjørring,2021,243166
860,Hjørring,2022,243989
860,Hjørring,2023,251445
860,Hjørring,2024,255917
316,Holbæk,2008,174818
316,Holbæk,2009,179417
316,Holbæk,2010,194120
316,Holbæk,2011,195562
316,Holbæk,2012,201290
316,Holbæk,2013,206536
316,Holbæk,2014,210844
316,Holbæk,2015,217027
316,Holbæk,2016,218575
316,Holbæk,2017,224912
316,Holbæk,2018,229668
316,Holbæk,2019,236423
316,Holbæk,2020,248204
316,Holbæk,2021,261166
316,Holbæk,2022,262276
316,Holbæk,2023,271143
316,Holbæk,2024,277859
661,Holstebro,2008,170178
661,Holstebro,2009,173063
661,Holstebro,2010,189285
661,Holstebro,2011,195009
661,Holstebro,2012,201477
661,Holstebro,2013,208410
661,Holstebro,2014,208196
661,Holstebro,2015,212478
661,Holstebro,2016,213089
661,Holstebro,2017,220535
661,Holstebro,2018,224254
661,Holstebro,2019,231857
661,Holstebro,2020,242976
661,Holstebro,2021,258494
661,Holstebro,2022,256921
661,Holstebro,2023,262664
661,Holstebro,2024,269279
615,Horsens,2008,168107
615,Horsens,2009,175684
615,Horsens,2010,188952
615,Horsens,2011,193460
615,Horsens,2012,198571
615,Horsens,2013,204107
615,Horsens,2014,208807
615,Horsens,2015,212286
615,Horsens,2016,216516
615,Horsens,2017,223298
615,Horsens,2018,230081
615,Horsens,2019,237304
615,Horsens,2020,248027
615,Horsens,2021,257774
615,Horsens,2022,258194
615,Horsens,2023,263504
615,Horsens,2024,271024
167,Hvidovre,2008,178735
167,Hvidovre,2009,179674
167,Hvidovre,2010,193402
167,Hvidovre,2011,196751
167,Hvidovre,2012,200751
167,Hvidovre,2013,204689
167,Hvidovre,2014,210133
